lower_age,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0.0,3914.0,3854.0,3801.0,3737.0,3687.0,3655.0,3648.0,3636.0,3628.0,3623.0,3621.0,3620.0,3620.0,3623.0,3629.0,3640.0,3654.0,3672.0,3694.0,3720.0,3750.0,3782.0,3816.0
5.0,4139.0,4153.0,4153.0,4136.0,4083.0,4031.0,3966.0,3908.0,3840.0,3788.0,3755.0,3747.0,3735.0,3726.0,3722.0,3720.0,3719.0,3719.0,3722.0,3728.0,3739.0,3753.0,3771.0
10.0,3859.0,3956.0,4049.0,4128.0,4203.0,4225.0,4236.0,4231.0,4213.0,4158.0,4105.0,4040.0,3981.0,3914.0,3862.0,3829.0,3821.0,3809.0,3800.0,3796.0,3794.0,3792.0,3793.0
15.0,3669.0,3653.0,3676.0,3745.0,3851.0,3972.0,4065.0,4154.0,4230.0,4302.0,4324.0,4334.0,4330.0,4311.0,4257.0,4203.0,4138.0,4079.0,4012.0,3960.0,3927.0,3919.0,3907.0
20.0,4185.0,4155.0,4118.0,4057.0,3975.0,3922.0,3895.0,3907.0,3969.0,4070.0,4187.0,4279.0,4368.0,4444.0,4517.0,4538.0,4548.0,4544.0,4526.0,4472.0,4418.0,4353.0,4295.0
25.0,4527.0,4525.0,4490.0,4437.0,4397.0,4363.0,4322.0,4273.0,4203.0,4114.0,4056.0,4027.0,4039.0,4101.0,4202.0,4319.0,4411.0,4500.0,4576.0,4648.0,4670.0,4680.0,4676.0
30.0,4463.0,4505.0,4535.0,4581.0,4618.0,4604.0,4594.0,4551.0,4492.0,4449.0,4411.0,4369.0,4320.0,4250.0,4162.0,4104.0,4075.0,4087.0,4150.0,4250.0,4367.0,4459.0,4548.0
35.0,4372.0,4402.0,4418.0,4434.0,4449.0,4487.0,4525.0,4550.0,4593.0,4626.0,4611.0,4600.0,4558.0,4499.0,4456.0,4419.0,4377.0,4328.0,4259.0,4171.0,4114.0,4085.0,4097.0
40.0,3993.0,4021.0,4099.0,4190.0,4290.0,4379.0,4405.0,4417.0,4431.0,4445.0,4482.0,4519.0,4544.0,4587.0,4621.0,4605.0,4595.0,4553.0,4495.0,4452.0,4416.0,4374.0,4326.0
45.0,4507.0,4405.0,4312.0,4182.0,4066.0,3999.0,4025.0,4099.0,4188.0,4287.0,4374.0,4399.0,4412.0,4426.0,4441.0,4478.0,4514.0,4540.0,4583.0,4616.0,4601.0,4591.0,4550.0
50.0,4674.0,4662.0,4618.0,4604.0,4561.0,4493.0,4391.0,4296.0,4168.0,4053.0,3986.0,4012.0,4086.0,4175.0,4272.0,4359.0,4385.0,4398.0,4413.0,4427.0,4464.0,4501.0,4527.0
55.0,4294.0,4408.0,4514.0,4578.0,4614.0,4620.0,4606.0,4563.0,4549.0,4507.0,4441.0,4341.0,4249.0,4123.0,4011.0,3947.0,3973.0,4047.0,4135.0,4232.0,4318.0,4344.0,4358.0
60.0,3673.0,3758.0,3862.0,3975.0,4090.0,4198.0,4308.0,4411.0,4474.0,4510.0,4517.0,4505.0,4464.0,4453.0,4413.0,4350.0,4253.0,4165.0,4044.0,3936.0,3874.0,3901.0,3975.0
65.0,3396.0,3371.0,3363.0,3395.0,3459.0,3533.0,3615.0,3715.0,3823.0,3936.0,4040.0,4148.0,4249.0,4311.0,4348.0,4356.0,4347.0,4310.0,4301.0,4265.0,4206.0,4115.0,4031.0
70.0,3252.0,3320.0,3369.0,3388.0,3241.0,3173.0,3150.0,3144.0,3176.0,3238.0,3310.0,3389.0,3485.0,3590.0,3698.0,3799.0,3904.0,4001.0,4062.0,4099.0,4110.0,4104.0,4072.0
75.0,2236.0,2327.0,2412.0,2527.0,2763.0,2892.0,2953.0,2997.0,3014.0,2888.0,2832.0,2817.0,2815.0,2848.0,2907.0,2975.0,3050.0,3140.0,3239.0,3340.0,3436.0,3535.0,3627.0
80.0,1608.0,1641.0,1670.0,1704.0,1740.0,1781.0,1822.0,1855.0,1870.0,1910.0,1977.0,2059.0,2131.0,2204.0,2373.0,2491.0,2574.0,2636.0,2681.0,2717.0,2759.0,2800.0,2834.0
